Seq_id	Size	Description
1	692833	R_scaffold_0
2	505385	R_scaffold_1
3	431926	R_scaffold_2
4	394738	R_scaffold_3
5	393722	R_scaffold_4
6	387271	R_scaffold_5
7	359335	R_scaffold_6
8	246340	R_scaffold_7
9	235601	R_scaffold_8
10	208002	R_scaffold_9
11	185189	R_scaffold_10
12	142964	R_scaffold_11
13	139717	R_scaffold_12
14	114674	R_scaffold_13
15	113078	R_scaffold_14
16	105294	R_scaffold_15
17	94785	R_scaffold_16
18	93747	R_scaffold_17
19	75102	R_scaffold_18
20	30227	R_scaffold_19
21	21976	R_scaffold_20
22	16317	R_scaffold_21
23	7254	R_scaffold_22
24	4448	R_scaffold_23
25	4165	R_scaffold_24
26	3090	R_scaffold_25
27	2363	R_scaffold_26
28	1613	R_scaffold_27
29	1439	R_scaffold_28
30	1018	R_scaffold_29
31	778	R_scaffold_30
32	741	R_scaffold_31
33	732	R_scaffold_32
34	652	R_scaffold_33
35	631	R_scaffold_34
36	612	R_scaffold_35
37	605	R_scaffold_36
38	160368	R_scaffold_12
39	186819	R_scaffold_8
40	70190	R_scaffold_20
41	181207	R_scaffold_9
42	60003	R_scaffold_21
43	39325	R_scaffold_24
44	243105	R_scaffold_5
45	79612	R_scaffold_17
46	12488	R_scaffold_27
47	443938	R_scaffold_1
48	41341	R_scaffold_23
49	152194	R_scaffold_13
50	49320	R_scaffold_22
51	179420	R_scaffold_10
52	107768	R_scaffold_16
53	286234	R_scaffold_3
54	76617	R_scaffold_19
55	123848	R_scaffold_15
56	308461	R_scaffold_2
57	223087	R_scaffold_6
58	147906	R_scaffold_14
59	221733	R_scaffold_7
60	2643	R_scaffold_30
61	661595	R_scaffold_0
62	168051	R_scaffold_11
63	25118	R_scaffold_25
64	21501	R_scaffold_26
65	255633	R_scaffold_4
66	79281	R_scaffold_18
67	3100	R_scaffold_28
68	3091	R_scaffold_29
69	2510	R_scaffold_31
70	1577	R_scaffold_32
71	1120	R_scaffold_33
72	954	R_scaffold_34
73	811	R_scaffold_35
74	765	R_scaffold_36
75	720	R_scaffold_37
76	709	R_scaffold_38
77	695	R_scaffold_39
78	693	R_scaffold_40
79	653	R_scaffold_41
80	645	R_scaffold_42
81	601	R_scaffold_43
82	598	R_scaffold_44
83	598	R_scaffold_45
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83
2	13	11.75%	3.38%	1.00%	0.00%	0.00%	51.02%	0.00%	72.62%	0.00%	6.71%	0.00%	8.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.87%	0.00%	47.52%	0.00%	99.51%	0.00%	0.00%	70.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	45.94%	0.00%	1.46%	0.00%	1.51%	2.16%	0.00%	0.00%	0.00%	0.00%	0.00%	13.15%	0.00%	0.00%	45.33%	0.00%	57.13%	75.57%	0.00%	9.32%	0.00%	94.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	13	11.75%	3.38%	1.00%	0.00%	0.00%	51.02%	0.00%	72.62%	0.00%	6.71%	0.00%	8.02%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	7.87%	0.00%	47.52%	0.00%	99.51%	0.00%	0.00%	70.44%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	45.94%	0.00%	1.46%	0.00%	1.51%	2.16%	0.00%	0.00%	0.00%	0.00%	0.00%	13.15%	0.00%	0.00%	45.33%	0.00%	57.13%	75.57%	0.00%	9.32%	0.00%	94.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
