Seq_id	Size	Description
1	692833	R_scaffold_0
2	505385	R_scaffold_1
3	431926	R_scaffold_2
4	394738	R_scaffold_3
5	393722	R_scaffold_4
6	387271	R_scaffold_5
7	359335	R_scaffold_6
8	246340	R_scaffold_7
9	235601	R_scaffold_8
10	208002	R_scaffold_9
11	185189	R_scaffold_10
12	142964	R_scaffold_11
13	139717	R_scaffold_12
14	114674	R_scaffold_13
15	113078	R_scaffold_14
16	105294	R_scaffold_15
17	94785	R_scaffold_16
18	93747	R_scaffold_17
19	75102	R_scaffold_18
20	30227	R_scaffold_19
21	21976	R_scaffold_20
22	16317	R_scaffold_21
23	7254	R_scaffold_22
24	4448	R_scaffold_23
25	4165	R_scaffold_24
26	3090	R_scaffold_25
27	2363	R_scaffold_26
28	1613	R_scaffold_27
29	1439	R_scaffold_28
30	1018	R_scaffold_29
31	778	R_scaffold_30
32	741	R_scaffold_31
33	732	R_scaffold_32
34	652	R_scaffold_33
35	631	R_scaffold_34
36	612	R_scaffold_35
37	605	R_scaffold_36
38	231584	R_scaffold_7
39	23154	R_scaffold_22
40	96198	R_scaffold_13
41	53819	R_scaffold_17
42	193256	R_scaffold_8
43	347522	R_scaffold_4
44	44348	R_scaffold_19
45	670500	R_scaffold_2
46	250463	R_scaffold_6
47	394596	R_scaffold_3
48	11764	R_scaffold_27
49	17897	R_scaffold_25
50	716395	R_scaffold_1
51	92221	R_scaffold_14
52	2301	R_scaffold_32
53	19629	R_scaffold_23
54	259625	R_scaffold_5
55	158830	R_scaffold_10
56	26289	R_scaffold_20
57	745709	R_scaffold_0
58	2141	R_scaffold_33
59	50505	R_scaffold_18
60	71100	R_scaffold_16
61	113466	R_scaffold_12
62	159738	R_scaffold_9
63	24902	R_scaffold_21
64	17058	R_scaffold_26
65	4979	R_scaffold_29
66	149463	R_scaffold_11
67	75224	R_scaffold_15
68	19514	R_scaffold_24
69	6919	R_scaffold_28
70	3927	R_scaffold_30
71	2560	R_scaffold_31
72	1955	R_scaffold_34
73	1774	R_scaffold_35
74	1341	R_scaffold_36
75	1265	R_scaffold_37
76	884	R_scaffold_38
77	754	R_scaffold_39
78	667	R_scaffold_40
79	655	R_scaffold_41
80	643	R_scaffold_42
81	629	R_scaffold_43
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81
2	57	94.10%	99.37%	98.55%	98.19%	99.01%	99.66%	89.11%	99.47%	99.25%	86.61%	81.05%	67.85%	90.80%	95.98%	98.98%	98.23%	99.45%	99.66%	99.64%	97.32%	96.36%	98.58%	98.72%	95.52%	0.00%	80.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	69.65%	0.00%	81.98%	90.06%	99.44%	92.69%	20.40%	98.09%	99.63%	99.41%	88.89%	79.20%	98.01%	82.68%	0.00%	75.24%	85.83%	97.87%	98.09%	99.23%	0.00%	95.50%	90.59%	99.06%	94.75%	99.20%	94.43%	93.17%	94.37%	99.49%	0.00%	99.93%	85.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
