Seq_id	Size	Description
1	21976	R_scaffold_28
2	16328	R_scaffold_30
3	126533	R_scaffold_13
4	208025	R_scaffold_8
5	189456	R_scaffold_10
6	387275	R_scaffold_3
7	167100	R_scaffold_11
8	192232	R_scaffold_9
9	105286	R_scaffold_17
10	393722	R_scaffold_2
11	2414	R_scaffold_37
12	233118	R_scaffold_7
13	158302	R_scaffold_12
14	431926	R_scaffold_1
15	245702	R_scaffold_6
16	259819	R_scaffold_4
17	30432	R_scaffold_24
18	57691	R_scaffold_21
19	125955	R_scaffold_14
20	43621	R_scaffold_23
21	79612	R_scaffold_20
22	57112	R_scaffold_22
23	692840	R_scaffold_0
24	27032	R_scaffold_26
25	246340	R_scaffold_5
26	7254	R_scaffold_31
27	111933	R_scaffold_16
28	27855	R_scaffold_25
29	4449	R_scaffold_33
30	114674	R_scaffold_15
31	25703	R_scaffold_27
32	17006	R_scaffold_29
33	4742	R_scaffold_32
34	94773	R_scaffold_18
35	93391	R_scaffold_19
36	3538	R_scaffold_34
37	3090	R_scaffold_35
38	2639	R_scaffold_36
39	1887	R_scaffold_38
40	1297	R_scaffold_39
41	1267	R_scaffold_40
42	1242	R_scaffold_41
43	815	R_scaffold_42
44	728	R_scaffold_43
45	708	R_scaffold_44
46	646	R_scaffold_45
47	611	R_scaffold_46
48	231584	R_scaffold_7
49	23154	R_scaffold_22
50	96198	R_scaffold_13
51	53819	R_scaffold_17
52	193256	R_scaffold_8
53	347522	R_scaffold_4
54	44348	R_scaffold_19
55	670500	R_scaffold_2
56	250463	R_scaffold_6
57	394596	R_scaffold_3
58	11764	R_scaffold_27
59	17897	R_scaffold_25
60	716395	R_scaffold_1
61	92221	R_scaffold_14
62	2301	R_scaffold_32
63	19629	R_scaffold_23
64	259625	R_scaffold_5
65	158830	R_scaffold_10
66	26289	R_scaffold_20
67	745709	R_scaffold_0
68	2141	R_scaffold_33
69	50505	R_scaffold_18
70	71100	R_scaffold_16
71	113466	R_scaffold_12
72	159738	R_scaffold_9
73	24902	R_scaffold_21
74	17058	R_scaffold_26
75	4979	R_scaffold_29
76	149463	R_scaffold_11
77	75224	R_scaffold_15
78	19514	R_scaffold_24
79	6919	R_scaffold_28
80	3927	R_scaffold_30
81	2560	R_scaffold_31
82	1955	R_scaffold_34
83	1774	R_scaffold_35
84	1341	R_scaffold_36
85	1265	R_scaffold_37
86	884	R_scaffold_38
87	754	R_scaffold_39
88	667	R_scaffold_40
89	655	R_scaffold_41
90	643	R_scaffold_42
91	629	R_scaffold_43
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83	Seq 84	Seq 85	Seq 86	Seq 87	Seq 88	Seq 89	Seq 90	Seq 91
2	59	92.75%	98.58%	32.66%	99.83%	81.05%	99.88%	89.47%	99.82%	99.92%	99.45%	99.66%	0.00%	87.53%	79.37%	98.83%	95.79%	82.02%	99.95%	50.97%	79.05%	98.97%	79.67%	73.25%	99.37%	0.00%	99.25%	95.52%	99.09%	82.95%	0.00%	98.98%	96.11%	94.72%	90.87%	99.66%	99.96%	89.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	70.36%	0.00%	81.98%	90.06%	99.90%	92.74%	20.40%	98.90%	99.63%	99.41%	88.89%	79.20%	97.77%	82.68%	0.00%	75.24%	85.83%	95.93%	97.36%	96.89%	0.00%	95.50%	90.59%	98.97%	94.75%	99.20%	94.43%	90.86%	94.37%	99.43%	0.00%	99.93%	80.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
3	3	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.58%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
