Seq_id	Size	Description
1	692833	R_scaffold_0
2	505385	R_scaffold_1
3	431926	R_scaffold_2
4	394738	R_scaffold_3
5	393722	R_scaffold_4
6	387271	R_scaffold_5
7	359335	R_scaffold_6
8	246340	R_scaffold_7
9	235601	R_scaffold_8
10	208002	R_scaffold_9
11	185189	R_scaffold_10
12	142964	R_scaffold_11
13	139717	R_scaffold_12
14	114674	R_scaffold_13
15	113078	R_scaffold_14
16	105294	R_scaffold_15
17	94785	R_scaffold_16
18	93747	R_scaffold_17
19	75102	R_scaffold_18
20	30227	R_scaffold_19
21	21976	R_scaffold_20
22	16317	R_scaffold_21
23	7254	R_scaffold_22
24	4448	R_scaffold_23
25	4165	R_scaffold_24
26	3090	R_scaffold_25
27	2363	R_scaffold_26
28	1613	R_scaffold_27
29	1439	R_scaffold_28
30	1018	R_scaffold_29
31	778	R_scaffold_30
32	741	R_scaffold_31
33	732	R_scaffold_32
34	652	R_scaffold_33
35	631	R_scaffold_34
36	612	R_scaffold_35
37	605	R_scaffold_36
38	21976	R_scaffold_28
39	16328	R_scaffold_30
40	126533	R_scaffold_13
41	208025	R_scaffold_8
42	189456	R_scaffold_10
43	387275	R_scaffold_3
44	167100	R_scaffold_11
45	192232	R_scaffold_9
46	105286	R_scaffold_17
47	393722	R_scaffold_2
48	2414	R_scaffold_37
49	233118	R_scaffold_7
50	158302	R_scaffold_12
51	431926	R_scaffold_1
52	245702	R_scaffold_6
53	259819	R_scaffold_4
54	30432	R_scaffold_24
55	57691	R_scaffold_21
56	125955	R_scaffold_14
57	43621	R_scaffold_23
58	79612	R_scaffold_20
59	57112	R_scaffold_22
60	692840	R_scaffold_0
61	27032	R_scaffold_26
62	246340	R_scaffold_5
63	7254	R_scaffold_31
64	111933	R_scaffold_16
65	27855	R_scaffold_25
66	4449	R_scaffold_33
67	114674	R_scaffold_15
68	25703	R_scaffold_27
69	17006	R_scaffold_29
70	4742	R_scaffold_32
71	94773	R_scaffold_18
72	93391	R_scaffold_19
73	3538	R_scaffold_34
74	3090	R_scaffold_35
75	2639	R_scaffold_36
76	1887	R_scaffold_38
77	1297	R_scaffold_39
78	1267	R_scaffold_40
79	1242	R_scaffold_41
80	815	R_scaffold_42
81	728	R_scaffold_43
82	708	R_scaffold_44
83	646	R_scaffold_45
84	611	R_scaffold_46
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83	Seq 84
2	41	99.23%	99.98%	99.94%	99.94%	99.96%	100.00%	99.98%	99.99%	100.00%	96.23%	100.00%	94.99%	99.78%	99.66%	99.99%	98.46%	100.00%	100.00%	99.62%	97.35%	98.16%	100.00%	100.00%	100.00%	100.00%	76.30%	0.00%	90.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	100.00%	100.00%	99.83%	99.99%	97.36%	99.98%	100.00%	99.99%	100.00%	100.00%	100.00%	96.21%	97.69%	99.94%	100.00%	99.84%	100.00%	99.96%	100.00%	99.93%	100.00%	100.00%	99.98%	78.69%	100.00%	100.00%	99.96%	99.38%	99.98%	99.99%	96.99%	95.95%	100.00%	100.00%	100.00%	89.82%	0.00%	80.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
