Seq_id	Size	Description
1	231584	R_scaffold_7
2	23154	R_scaffold_22
3	96198	R_scaffold_13
4	53819	R_scaffold_17
5	193256	R_scaffold_8
6	347522	R_scaffold_4
7	44348	R_scaffold_19
8	670500	R_scaffold_2
9	250463	R_scaffold_6
10	394596	R_scaffold_3
11	11764	R_scaffold_27
12	17897	R_scaffold_25
13	716395	R_scaffold_1
14	92221	R_scaffold_14
15	2301	R_scaffold_32
16	19629	R_scaffold_23
17	259625	R_scaffold_5
18	158830	R_scaffold_10
19	26289	R_scaffold_20
20	745709	R_scaffold_0
21	2141	R_scaffold_33
22	50505	R_scaffold_18
23	71100	R_scaffold_16
24	113466	R_scaffold_12
25	159738	R_scaffold_9
26	24902	R_scaffold_21
27	17058	R_scaffold_26
28	4979	R_scaffold_29
29	149463	R_scaffold_11
30	75224	R_scaffold_15
31	19514	R_scaffold_24
32	6919	R_scaffold_28
33	3927	R_scaffold_30
34	2560	R_scaffold_31
35	1955	R_scaffold_34
36	1774	R_scaffold_35
37	1341	R_scaffold_36
38	1265	R_scaffold_37
39	884	R_scaffold_38
40	754	R_scaffold_39
41	667	R_scaffold_40
42	655	R_scaffold_41
43	643	R_scaffold_42
44	629	R_scaffold_43
45	692833	R_scaffold_0
46	505385	R_scaffold_1
47	431926	R_scaffold_2
48	394738	R_scaffold_3
49	393722	R_scaffold_4
50	387271	R_scaffold_5
51	359335	R_scaffold_6
52	246340	R_scaffold_7
53	235601	R_scaffold_8
54	208002	R_scaffold_9
55	185189	R_scaffold_10
56	142964	R_scaffold_11
57	139717	R_scaffold_12
58	114674	R_scaffold_13
59	113078	R_scaffold_14
60	105294	R_scaffold_15
61	94785	R_scaffold_16
62	93747	R_scaffold_17
63	75102	R_scaffold_18
64	30227	R_scaffold_19
65	21976	R_scaffold_20
66	16317	R_scaffold_21
67	7254	R_scaffold_22
68	4448	R_scaffold_23
69	4165	R_scaffold_24
70	3090	R_scaffold_25
71	2363	R_scaffold_26
72	1613	R_scaffold_27
73	1439	R_scaffold_28
74	1018	R_scaffold_29
75	778	R_scaffold_30
76	741	R_scaffold_31
77	732	R_scaffold_32
78	652	R_scaffold_33
79	631	R_scaffold_34
80	612	R_scaffold_35
81	605	R_scaffold_36
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81
2	54	94.19%	70.36%	0.00%	81.98%	90.06%	99.44%	91.46%	20.40%	98.88%	99.63%	99.41%	88.89%	79.20%	98.07%	82.68%	0.00%	75.24%	85.83%	97.87%	98.09%	99.23%	0.00%	95.50%	90.59%	99.06%	94.75%	99.20%	94.43%	93.17%	94.37%	99.49%	0.00%	99.93%	85.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.37%	98.55%	98.83%	99.01%	99.66%	89.18%	99.47%	99.73%	86.61%	81.05%	67.85%	92.09%	95.98%	98.98%	98.23%	99.45%	99.66%	99.64%	97.32%	96.36%	98.58%	98.72%	95.52%	0.00%	80.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
3	1	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	5.67%	0.00%	7.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	55	94.61%	70.36%	0.00%	81.98%	90.06%	99.44%	91.46%	20.40%	98.88%	99.63%	99.41%	88.89%	79.20%	98.07%	82.68%	0.00%	75.24%	91.30%	97.87%	98.09%	99.23%	0.00%	95.50%	90.59%	99.06%	94.75%	99.20%	94.43%	93.17%	94.37%	99.49%	0.00%	99.93%	85.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	99.37%	98.55%	98.83%	99.01%	99.66%	89.18%	99.47%	99.73%	92.28%	81.05%	75.70%	92.09%	95.98%	98.98%	98.23%	99.45%	99.66%	99.64%	97.32%	96.36%	98.58%	98.72%	95.52%	0.00%	80.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
