Seq_id	Size	Description
1	231584	R_scaffold_7
2	23154	R_scaffold_22
3	96198	R_scaffold_13
4	53819	R_scaffold_17
5	193256	R_scaffold_8
6	347522	R_scaffold_4
7	44348	R_scaffold_19
8	670500	R_scaffold_2
9	250463	R_scaffold_6
10	394596	R_scaffold_3
11	11764	R_scaffold_27
12	17897	R_scaffold_25
13	716395	R_scaffold_1
14	92221	R_scaffold_14
15	2301	R_scaffold_32
16	19629	R_scaffold_23
17	259625	R_scaffold_5
18	158830	R_scaffold_10
19	26289	R_scaffold_20
20	745709	R_scaffold_0
21	2141	R_scaffold_33
22	50505	R_scaffold_18
23	71100	R_scaffold_16
24	113466	R_scaffold_12
25	159738	R_scaffold_9
26	24902	R_scaffold_21
27	17058	R_scaffold_26
28	4979	R_scaffold_29
29	149463	R_scaffold_11
30	75224	R_scaffold_15
31	19514	R_scaffold_24
32	6919	R_scaffold_28
33	3927	R_scaffold_30
34	2560	R_scaffold_31
35	1955	R_scaffold_34
36	1774	R_scaffold_35
37	1341	R_scaffold_36
38	1265	R_scaffold_37
39	884	R_scaffold_38
40	754	R_scaffold_39
41	667	R_scaffold_40
42	655	R_scaffold_41
43	643	R_scaffold_42
44	629	R_scaffold_43
45	21976	R_scaffold_28
46	16328	R_scaffold_30
47	126533	R_scaffold_13
48	208025	R_scaffold_8
49	189456	R_scaffold_10
50	387275	R_scaffold_3
51	167100	R_scaffold_11
52	192232	R_scaffold_9
53	105286	R_scaffold_17
54	393722	R_scaffold_2
55	2414	R_scaffold_37
56	233118	R_scaffold_7
57	158302	R_scaffold_12
58	431926	R_scaffold_1
59	245702	R_scaffold_6
60	259819	R_scaffold_4
61	30432	R_scaffold_24
62	57691	R_scaffold_21
63	125955	R_scaffold_14
64	43621	R_scaffold_23
65	79612	R_scaffold_20
66	57112	R_scaffold_22
67	692840	R_scaffold_0
68	27032	R_scaffold_26
69	246340	R_scaffold_5
70	7254	R_scaffold_31
71	111933	R_scaffold_16
72	27855	R_scaffold_25
73	4449	R_scaffold_33
74	114674	R_scaffold_15
75	25703	R_scaffold_27
76	17006	R_scaffold_29
77	4742	R_scaffold_32
78	94773	R_scaffold_18
79	93391	R_scaffold_19
80	3538	R_scaffold_34
81	3090	R_scaffold_35
82	2639	R_scaffold_36
83	1887	R_scaffold_38
84	1297	R_scaffold_39
85	1267	R_scaffold_40
86	1242	R_scaffold_41
87	815	R_scaffold_42
88	728	R_scaffold_43
89	708	R_scaffold_44
90	646	R_scaffold_45
91	611	R_scaffold_46
--------------------------------------------------------------------------------
Degree	Count	Total	Seq 1	Seq 2	Seq 3	Seq 4	Seq 5	Seq 6	Seq 7	Seq 8	Seq 9	Seq 10	Seq 11	Seq 12	Seq 13	Seq 14	Seq 15	Seq 16	Seq 17	Seq 18	Seq 19	Seq 20	Seq 21	Seq 22	Seq 23	Seq 24	Seq 25	Seq 26	Seq 27	Seq 28	Seq 29	Seq 30	Seq 31	Seq 32	Seq 33	Seq 34	Seq 35	Seq 36	Seq 37	Seq 38	Seq 39	Seq 40	Seq 41	Seq 42	Seq 43	Seq 44	Seq 45	Seq 46	Seq 47	Seq 48	Seq 49	Seq 50	Seq 51	Seq 52	Seq 53	Seq 54	Seq 55	Seq 56	Seq 57	Seq 58	Seq 59	Seq 60	Seq 61	Seq 62	Seq 63	Seq 64	Seq 65	Seq 66	Seq 67	Seq 68	Seq 69	Seq 70	Seq 71	Seq 72	Seq 73	Seq 74	Seq 75	Seq 76	Seq 77	Seq 78	Seq 79	Seq 80	Seq 81	Seq 82	Seq 83	Seq 84	Seq 85	Seq 86	Seq 87	Seq 88	Seq 89	Seq 90	Seq 91
2	59	92.75%	70.36%	0.00%	81.98%	90.06%	99.90%	92.74%	20.40%	98.90%	99.63%	99.41%	88.89%	79.20%	97.77%	82.68%	0.00%	75.24%	85.83%	95.93%	97.36%	96.89%	0.00%	95.50%	90.59%	98.97%	94.75%	99.20%	94.43%	90.86%	94.37%	99.43%	0.00%	99.93%	80.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	98.58%	32.66%	99.83%	81.05%	99.88%	89.47%	99.82%	99.92%	99.45%	99.66%	0.00%	87.53%	79.37%	98.83%	95.79%	82.02%	99.95%	50.97%	79.05%	98.97%	79.67%	73.25%	99.37%	0.00%	99.25%	95.52%	99.09%	82.95%	0.00%	98.98%	96.11%	94.72%	90.87%	99.66%	99.96%	89.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
3	3	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.58%	1.69%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	18.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
All	62	92.99%	70.36%	0.00%	81.98%	90.06%	99.90%	92.74%	20.40%	98.90%	99.63%	99.41%	88.89%	79.20%	97.77%	82.68%	0.00%	75.24%	89.15%	95.93%	97.36%	96.89%	0.00%	95.50%	90.59%	98.97%	94.75%	99.20%	94.43%	90.86%	94.37%	99.43%	0.00%	99.93%	80.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	98.58%	32.66%	99.83%	81.05%	99.88%	89.47%	99.82%	99.92%	99.45%	99.66%	0.00%	91.11%	81.06%	98.83%	95.79%	82.02%	99.95%	50.97%	79.05%	98.97%	79.67%	73.25%	99.37%	18.78%	99.25%	95.52%	99.09%	82.95%	0.00%	98.98%	96.11%	94.72%	90.87%	99.66%	99.96%	89.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	
--------------------------------------------------------------------------------
